transcript_id	gene_id
ENST00000205214	ENSG00000157426
ENST00000205386	ENSG00000091128
ENST00000205402	ENSG00000091140
ENST00000205557	ENSG00000091262
ENST00000205636	ENSG00000091317
ENST00000205948	ENSG00000091583
ENST00000206020	ENSG00000091640
ENST00000206249	ENSG00000091831
ENST00000206262	ENSG00000091844
ENST00000206380	ENSG00000091947
ENST00000206423	ENSG00000091986
ENST00000206446	ENSG00000092009
ENST00000206451	ENSG00000092010
ENST00000206474	ENSG00000092036
ENST00000206513	ENSG00000092067
ENST00000206542	ENSG00000092094
ENST00000206544	ENSG00000092096
ENST00000206595	ENSG00000092140
ENST00000206765	ENSG00000092295
ENST00000207157	ENSG00000092607
ENST00000207457	ENSG00000092850
ENST00000207549	ENSG00000092929
ENST00000207636	ENSG00000093010
ENST00000207870	ENSG00000093217
ENST00000209540	ENSG00000094661
ENST00000209665	ENSG00000196344
ENST00000209668	ENSG00000187758
ENST00000209718	ENSG00000108244
ENST00000209728	ENSG00000094804
ENST00000209873	ENSG00000094914
ENST00000209875	ENSG00000094916
ENST00000209884	ENSG00000076321
ENST00000209929	ENSG00000094963
ENST00000210060	ENSG00000095059
ENST00000210187	ENSG00000167964
ENST00000210227	ENSG00000119314
ENST00000210313	ENSG00000095261
ENST00000210444	ENSG00000095380
ENST00000210633	ENSG00000095539
ENST00000211076	ENSG00000095917
ENST00000211122	ENSG00000174156
ENST00000211287	ENSG00000156711
ENST00000211314	ENSG00000096092
ENST00000211379	ENSG00000204463
ENST00000211413	ENSG00000204314
ENST00000211921	ENSG00000204482
ENST00000211936	ENSG00000096654
ENST00000211998	ENSG00000035403
ENST00000212015	ENSG00000096717
ENST00000212355	ENSG00000069702
ENST00000214869	ENSG00000099203
ENST00000214893	ENSG00000099219
ENST00000215057	ENSG00000099326
ENST00000215061	ENSG00000099330
ENST00000215071	ENSG00000099341
ENST00000215095	ENSG00000099365
ENST00000215115	ENSG00000099385
ENST00000215368	ENSG00000099617
ENST00000215375	ENSG00000099624
ENST00000215376	ENSG00000099625
ENST00000215473	ENSG00000099715
ENST00000215530	ENSG00000070388
ENST00000215531	ENSG00000095932
ENST00000215539	ENSG00000099769
ENST00000215555	ENSG00000099785
ENST00000215565	ENSG00000099795
ENST00000215567	ENSG00000099797
ENST00000215570	ENSG00000099800
ENST00000215574	ENSG00000099804
ENST00000215582	ENSG00000099812
ENST00000215587	ENSG00000099817
ENST00000215631	ENSG00000099860
ENST00000215637	ENSG00000099866
ENST00000215659	ENSG00000188130
ENST00000215727	ENSG00000099937
ENST00000215730	ENSG00000099940
ENST00000215742	ENSG00000184436
ENST00000215743	ENSG00000099953
ENST00000215754	ENSG00000240972
ENST00000215770	ENSG00000099974
ENST00000215781	ENSG00000099985
ENST00000215790	ENSG00000099992
ENST00000215793	ENSG00000099995
ENST00000215794	ENSG00000184979
ENST00000215798	ENSG00000099999
ENST00000215812	ENSG00000100012
ENST00000215829	ENSG00000100028
ENST00000215832	ENSG00000100030
ENST00000215838	ENSG00000185339
ENST00000215855	ENSG00000100053
ENST00000215862	ENSG00000133422
ENST00000215882	ENSG00000100075
ENST00000215885	ENSG00000100078
ENST00000215886	ENSG00000100079
ENST00000215904	ENSG00000241360
ENST00000215906	ENSG00000128203
ENST00000215909	ENSG00000100097
ENST00000215912	ENSG00000100100
ENST00000215917	ENSG00000100104
ENST00000215919	ENSG00000100105
ENST00000215941	ENSG00000100124
ENST00000215956	ENSG00000100138
ENST00000215957	ENSG00000100139
ENST00000215980	ENSG00000100162
ENST00000216014	ENSG00000100196
ENST00000216019	ENSG00000100201
ENST00000216024	ENSG00000100206
ENST00000216027	ENSG00000100209
ENST00000216029	ENSG00000100211
ENST00000216034	ENSG00000100216
ENST00000216036	ENSG00000100218
ENST00000216037	ENSG00000100219
ENST00000216038	ENSG00000100220
ENST00000216039	ENSG00000100221
ENST00000216044	ENSG00000100226
ENST00000216061	ENSG00000100239
ENST00000216068	ENSG00000100246
ENST00000216071	ENSG00000100249
ENST00000216075	ENSG00000100253
ENST00000216080	ENSG00000100258
ENST00000216083	ENSG00000183741
ENST00000216085	ENSG00000100263
ENST00000216099	ENSG00000243811
ENST00000216101	ENSG00000100276
ENST00000216106	ENSG00000100281
ENST00000216115	ENSG00000100290
ENST00000216117	ENSG00000100292
ENST00000216121	ENSG00000184117
ENST00000216122	ENSG00000100297
ENST00000216124	ENSG00000100299
ENST00000216127	ENSG00000100302
ENST00000216129	ENSG00000100304
ENST00000216133	ENSG00000100307
ENST00000216139	ENSG00000100312
ENST00000216144	ENSG00000100314
ENST00000216146	ENSG00000100316
ENST00000216155	ENSG00000100321
ENST00000216160	ENSG00000100324
ENST00000216177	ENSG00000100341
ENST00000216180	ENSG00000100344
ENST00000216181	ENSG00000100345
ENST00000216185	ENSG00000100348
ENST00000216187	ENSG00000100350
ENST00000216190	ENSG00000100353
ENST00000216194	ENSG00000239900
ENST00000216200	ENSG00000100362
ENST00000216211	ENSG00000100373
ENST00000216214	ENSG00000100376
ENST00000216218	ENSG00000100380
ENST00000216223	ENSG00000100385
ENST00000216225	ENSG00000100387
ENST00000216237	ENSG00000100395
ENST00000216241	ENSG00000100399
ENST00000216252	ENSG00000100410
ENST00000216254	ENSG00000100412
ENST00000216259	ENSG00000100417
ENST00000216264	ENSG00000100422
ENST00000216267	ENSG00000100425
ENST00000216268	ENSG00000100426
ENST00000216271	ENSG00000100429
ENST00000216274	ENSG00000129465
ENST00000216277	ENSG00000090060
ENST00000216281	ENSG00000080824
ENST00000216286	ENSG00000087303
ENST00000216288	ENSG00000075413
ENST00000216294	ENSG00000023608
ENST00000216297	ENSG00000092201
ENST00000216327	ENSG00000100439
ENST00000216330	ENSG00000100442
ENST00000216336	ENSG00000100448
ENST00000216338	ENSG00000100450
ENST00000216341	ENSG00000100453
ENST00000216350	ENSG00000100462
ENST00000216361	ENSG00000100473
ENST00000216366	ENSG00000100478
ENST00000216367	ENSG00000100479
ENST00000216373	ENSG00000100485
ENST00000216378	ENSG00000100490
ENST00000216392	ENSG00000100504
ENST00000216407	ENSG00000256075
ENST00000216410	ENSG00000100522
ENST00000216414	ENSG00000100526
ENST00000216416	ENSG00000100528
ENST00000216420	ENSG00000100532
ENST00000216442	ENSG00000100554
ENST00000216445	ENSG00000100557
ENST00000216446	ENSG00000100558
ENST00000216450	ENSG00000100565
ENST00000216452	ENSG00000100564
ENST00000216455	ENSG00000100567
ENST00000216456	ENSG00000100568
ENST00000216463	ENSG00000100575
ENST00000216465	ENSG00000100577
ENST00000216468	ENSG00000100580
ENST00000216471	ENSG00000100583
ENST00000216479	ENSG00000100591
ENST00000216481	ENSG00000100593
ENST00000216484	ENSG00000100596
ENST00000216487	ENSG00000100599
ENST00000216489	ENSG00000100601
ENST00000216492	ENSG00000100604
ENST00000216500	ENSG00000100612
ENST00000216513	ENSG00000100625
ENST00000216517	ENSG00000100629
ENST00000216520	ENSG00000100632
ENST00000216540	ENSG00000100652
ENST00000216554	ENSG00000100664
ENST00000216568	ENSG00000100678
ENST00000216602	ENSG00000100711
ENST00000216629	ENSG00000100739
ENST00000216639	ENSG00000100749
ENST00000216658	ENSG00000100767
ENST00000216714	ENSG00000100823
ENST00000216727	ENSG00000100836
ENST00000216733	ENSG00000100842
ENST00000216743	ENSG00000100852
ENST00000216756	ENSG00000100865
ENST00000216774	ENSG00000100883
ENST00000216780	ENSG00000100889
ENST00000216797	ENSG00000100906
ENST00000216799	ENSG00000100908
ENST00000216802	ENSG00000100911
ENST00000216807	ENSG00000100916
ENST00000216832	ENSG00000100941
ENST00000216840	ENSG00000100949
ENST00000216862	ENSG00000019186
ENST00000216877	ENSG00000132670
ENST00000216879	ENSG00000088833
ENST00000216923	ENSG00000020256
ENST00000216927	ENSG00000089012
ENST00000216962	ENSG00000100994
ENST00000216968	ENSG00000101000
ENST00000217026	ENSG00000101057
ENST00000217043	ENSG00000101074
ENST00000217073	ENSG00000101104
ENST00000217074	ENSG00000101104
ENST00000217075	ENSG00000101104
ENST00000217086	ENSG00000101115
ENST00000217109	ENSG00000101138
ENST00000217121	ENSG00000101150
ENST00000217131	ENSG00000101160
ENST00000217133	ENSG00000101162
ENST00000217159	ENSG00000101187
ENST00000217162	ENSG00000101190
ENST00000217169	ENSG00000101197
ENST00000217173	ENSG00000185019
ENST00000217182	ENSG00000101210
ENST00000217185	ENSG00000101213
ENST00000217188	ENSG00000125508
ENST00000217195	ENSG00000101220
ENST00000217233	ENSG00000101255
ENST00000217244	ENSG00000101266
ENST00000217246	ENSG00000172264
ENST00000217254	ENSG00000101276
ENST00000217260	ENSG00000101282
ENST00000217270	ENSG00000101292
ENST00000217289	ENSG00000101311
ENST00000217305	ENSG00000101327
ENST00000217315	ENSG00000101337
ENST00000217320	ENSG00000101342
ENST00000217381	ENSG00000101400
ENST00000217386	ENSG00000101405
ENST00000217398	ENSG00000101417
ENST00000217402	ENSG00000101421
ENST00000217407	ENSG00000129988
ENST00000217420	ENSG00000101438
ENST00000217423	ENSG00000101441
ENST00000217425	ENSG00000101443
ENST00000217426	ENSG00000101444
ENST00000217428	ENSG00000101446
ENST00000217446	ENSG00000101464
ENST00000217455	ENSG00000101473
ENST00000217456	ENSG00000101474
ENST00000217515	ENSG00000091164
ENST00000217652	ENSG00000101608
ENST00000217740	ENSG00000101695
ENST00000217800	ENSG00000101751
ENST00000217885	ENSG00000007952
ENST00000217890	ENSG00000006756
ENST00000217893	ENSG00000273841
ENST00000217901	ENSG00000067829
ENST00000217909	ENSG00000077713
ENST00000217926	ENSG00000123569
ENST00000217939	ENSG00000101825
ENST00000217957	ENSG00000101842
ENST00000217958	ENSG00000101843
ENST00000217961	ENSG00000101846
ENST00000217971	ENSG00000101856
ENST00000217999	ENSG00000101883
ENST00000218004	ENSG00000101888
ENST00000218006	ENSG00000101890
ENST00000218008	ENSG00000101892
ENST00000218032	ENSG00000101916
ENST00000218056	ENSG00000101940
ENST00000218068	ENSG00000101951
ENST00000218075	ENSG00000101958
ENST00000218089	ENSG00000101972
ENST00000218099	ENSG00000101981
ENST00000218104	ENSG00000101986
ENST00000218147	ENSG00000085185
ENST00000218176	ENSG00000102057
ENST00000218197	ENSG00000102078
ENST00000218200	ENSG00000102081
ENST00000218224	ENSG00000102103
ENST00000218230	ENSG00000102109
ENST00000218249	ENSG00000102128
ENST00000218316	ENSG00000102195
ENST00000218328	ENSG00000086758
ENST00000218340	ENSG00000102218
ENST00000218348	ENSG00000102226
ENST00000218364	ENSG00000102241
ENST00000218388	ENSG00000102265
ENST00000218432	ENSG00000102309
ENST00000218436	ENSG00000102313
ENST00000218439	ENSG00000102316
ENST00000218516	ENSG00000102393
ENST00000218548	ENSG00000075673
ENST00000218652	ENSG00000102471
ENST00000218721	ENSG00000102539
ENST00000218758	ENSG00000102575
ENST00000218789	ENSG00000102606
ENST00000218867	ENSG00000102683
ENST00000218981	ENSG00000102796
ENST00000219022	ENSG00000102837
ENST00000219054	ENSG00000183747
ENST00000219066	ENSG00000065057
ENST00000219069	ENSG00000006194
ENST00000219070	ENSG00000087245
ENST00000219084	ENSG00000177200
ENST00000219091	ENSG00000122386
ENST00000219097	ENSG00000091651
ENST00000219139	ENSG00000125149
ENST00000219150	ENSG00000102879
ENST00000219162	ENSG00000102891
ENST00000219168	ENSG00000102897
ENST00000219169	ENSG00000102898
ENST00000219197	ENSG00000102924
ENST00000219204	ENSG00000102931
ENST00000219207	ENSG00000102934
ENST00000219235	ENSG00000102962
ENST00000219240	ENSG00000102967
ENST00000219244	ENSG00000102970
ENST00000219251	ENSG00000102977
ENST00000219252	ENSG00000102978
ENST00000219255	ENSG00000102981
ENST00000219271	ENSG00000102996
ENST00000219281	ENSG00000103005
ENST00000219299	ENSG00000103021
ENST00000219301	ENSG00000103023
ENST00000219302	ENSG00000103024
ENST00000219313	ENSG00000103035
ENST00000219315	ENSG00000103037
ENST00000219320	ENSG00000103042
ENST00000219322	ENSG00000103044
ENST00000219334	ENSG00000103056
ENST00000219343	ENSG00000103064
ENST00000219345	ENSG00000103066
ENST00000219368	ENSG00000103089
ENST00000219400	ENSG00000103121
ENST00000219406	ENSG00000185615
ENST00000219409	ENSG00000242173
ENST00000219431	ENSG00000103152
ENST00000219439	ENSG00000103160
ENST00000219454	ENSG00000103175
ENST00000219473	ENSG00000103194
ENST00000219476	ENSG00000103197
ENST00000219478	ENSG00000103199
ENST00000219479	ENSG00000103202
ENST00000219481	ENSG00000242612
ENST00000219535	ENSG00000103254
ENST00000219542	ENSG00000103260
ENST00000219548	ENSG00000103266
ENST00000219551	ENSG00000103269
ENST00000219596	ENSG00000103313
ENST00000219599	ENSG00000103316
ENST00000219611	ENSG00000103326
ENST00000219660	ENSG00000103375
ENST00000219689	ENSG00000103404
ENST00000219700	ENSG00000103415
ENST00000219746	ENSG00000103460
ENST00000219771	ENSG00000103485
ENST00000219782	ENSG00000103495
ENST00000219789	ENSG00000103502
ENST00000219794	ENSG00000103507
ENST00000219797	ENSG00000103510
ENST00000219821	ENSG00000103534
ENST00000219833	ENSG00000103546
ENST00000219837	ENSG00000103550
ENST00000219905	ENSG00000174197
ENST00000219919	ENSG00000103569
ENST00000220003	ENSG00000103653
ENST00000220058	ENSG00000103707
ENST00000220062	ENSG00000103710
ENST00000220166	ENSG00000103811
ENST00000220244	ENSG00000103888
ENST00000220325	ENSG00000103966
ENST00000220420	ENSG00000104055
ENST00000220429	ENSG00000104064
ENST00000220478	ENSG00000104112
ENST00000220496	ENSG00000104129
ENST00000220507	ENSG00000104140
ENST00000220509	ENSG00000104142
ENST00000220514	ENSG00000104147
ENST00000220531	ENSG00000104164
ENST00000220562	ENSG00000012232
ENST00000220584	ENSG00000079459
ENST00000220592	ENSG00000123908
ENST00000220597	ENSG00000076641
ENST00000220616	ENSG00000042832
ENST00000220659	ENSG00000104221
ENST00000220669	ENSG00000104231
ENST00000220676	ENSG00000104237
ENST00000220751	ENSG00000104312
ENST00000220763	ENSG00000104324
ENST00000220764	ENSG00000104325
ENST00000220772	ENSG00000104332
ENST00000220809	ENSG00000104368
ENST00000220812	ENSG00000104371
ENST00000220822	ENSG00000104381
ENST00000220847	ENSG00000129292
ENST00000220849	ENSG00000104408
ENST00000220853	ENSG00000104412
ENST00000220856	ENSG00000104415
ENST00000220876	ENSG00000104435
ENST00000220888	ENSG00000104447
ENST00000220913	ENSG00000104472
ENST00000220931	ENSG00000104490
ENST00000220940	ENSG00000104499
ENST00000220959	ENSG00000104517
ENST00000220966	ENSG00000104524
ENST00000221086	ENSG00000104643
ENST00000221114	ENSG00000104671
ENST00000221130	ENSG00000104687
ENST00000221132	ENSG00000104689
ENST00000221138	ENSG00000104695
